Year,Department Title,Job Class Title,Regular Pay,Actual Earnings,Department #
2012,Airports,Architectural Assoc Ii,91079.00,93565.00,101
2012,Airports,Management Analyst Ii,85838.00,85318.00,101
2012,Airports,Custodian/Ap,43488.00,45991.00,101
2012,Airports,Sr Clerk Typist,60222.00,59702.00,101
2012,Airports,Airports Mtce Supvr I,76546.00,76025.00,101
2012,Airports,Equip Repair Supvr,87984.00,90491.00,101
2012,Airports,Custodian/Ap,42324.00,41802.00,101
2012,Airports,Custodian/Ap,47075.00,49585.00,101
2012,Airports,Air Cond Mech Supvr I,92232.00,94752.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,82274.00,101
2012,Airports,Maint & Constr Helper,51447.00,53963.00,101
2012,Airports,Custodian/Ap,48271.00,50800.00,101
2012,Airports,Custodian/Ap,47075.00,49604.00,101
2012,Airports,Arpt Supt Of Oper I,71263.00,73795.00,101
2012,Airports,Accounting Clerk Ii,63590.00,66121.00,101
2012,Airports,St Svcs Worker I,51318.00,53855.00,101
2012,Airports,Constr & Maint Supv Ii,112785.00,112253.00,101
2012,Airports,Security Officer,53636.00,56177.00,101
2012,Airports,Ch Constr Inspector,137693.00,137158.00,101
2012,Airports,Clerk Typist,48766.00,48230.00,101
2012,Airports,Clerk Typist,48766.00,51322.00,101
2012,Airports,Clerk Typist,48766.00,48230.00,101
2012,Airports,Delivery Driver Iii,58962.00,58424.00,101
2012,Airports,Custodian/Ap,45879.00,48443.00,101
2012,Airports,Custodian/Ap,43488.00,46058.00,101
2012,Airports,Custodian/Ap,43488.00,46067.00,101
2012,Airports,Commun Info Rep Iii,66548.00,69120.00,101
2012,Airports,Airp Manager Iii,173500.00,172959.00,101
2012,Airports,Airport Police Ofcr I,49841.00,52419.00,101
2012,Airports,Exec Asst Airports,171998.00,171456.00,101
2012,Airports,Accountant Ii,67359.00,70351.00,101
2012,Airports,Custodian/Ap,43488.00,46076.00,101
2012,Airports,Welder,78147.00,77603.00,101
2012,Airports,Custodian/Ap,47075.00,49684.00,101
2012,Airports,Custodian/Ap,48271.00,50875.00,101
2012,Airports,Sr Clerk Typist,60222.00,59677.00,101
2012,Airports,Custodian/Ap,48271.00,50875.00,101
2012,Airports,Management Analyst Ii,85838.00,88452.00,101
2012,Airports,Airport Police Ofcr Iii,86568.00,89185.00,101
2012,Airports,Custodian/Ap,45879.00,48496.00,101
2012,Airports,Sr Storekeeper,69533.00,72163.00,101
2012,Airports,Custodian/Ap,43488.00,46129.00,101
2012,Airports,Sr Clerk Typist,60222.00,59669.00,101
2012,Airports,Custodian/Ap,44683.00,47332.00,101
2012,Airports,Sr Clerk Typist,60222.00,59669.00,101
2012,Airports,Custodian/Ap,45879.00,48535.00,101
2012,Airports,Arpt Supt Of Oper I,63882.00,66547.00,101
2012,Airports,Custodian/Ap,45879.00,48545.00,101
2012,Airports,Constr Equip Serv Workr,58555.00,61239.00,101
2012,Airports,Carpenter,76656.00,79333.00,101
2012,Airports,Airport Police Ofcr Iii,86568.00,89252.00,101
2012,Airports,Custodian/Ap,48271.00,50964.00,101
2012,Airports,Environmental Spec Iii,101435.00,104131.00,101
2012,Airports,Garage Attendant,45978.00,48684.00,101
2012,Airports,Maintenance Laborer,49429.00,52134.00,101
2012,Airports,Commission Exec Asst Ii,85838.00,85264.00,101
2012,Airports,Security Officer,56586.00,59315.00,101
2012,Airports,Arpt Supt Of Oper Iii,110164.00,112903.00,101
2012,Airports,Custodian/Ap,45879.00,48620.00,101
2012,Airports,Custodian/Ap,44652.00,47393.00,101
2012,Airports,Arpt Supt Of Oper I,63882.00,66635.00,101
2012,Airports,Security Officer,53636.00,56381.00,101
2012,Airports,Security Officer,56586.00,59365.00,101
2012,Airports,Arpt Supt Of Oper I,60552.00,63317.00,101
2012,Airports,Constr Equip Serv Workr,55502.00,58257.00,101
2012,Airports,Security Officer,46834.00,49601.00,101
2012,Airports,Clerk Typist,48766.00,48185.00,101
2012,Airports,Custodian/Ap,47075.00,49845.00,101
2012,Airports,Custodian/Ap,47075.00,49845.00,101
2012,Airports,Plumber,83907.00,86706.00,101
2012,Airports,Airport Police Ofcr Ii,71556.00,74339.00,101
2012,Airports,Custodian/Ap,48271.00,51069.00,101
2012,Airports,Custodian/Ap,43488.00,46294.00,101
2012,Airports,Accounting Clerk Ii,63590.00,62999.00,101
2012,Airports,Custodian/Ap,43488.00,46293.00,101
2012,Airports,Custodian/Ap,47075.00,49879.00,101
2012,Airports,Custodian/Ap,43488.00,46299.00,101
2012,Airports,Custodian/Ap,43488.00,46308.00,101
2012,Airports,Custodian/Ap,43488.00,46308.00,101
2012,Airports,Custodian/Ap,43488.00,46308.00,101
2012,Airports,Management Analyst I,72767.00,75589.00,101
2012,Airports,Custodian/Ap,44683.00,47506.00,101
2012,Airports,Custodian/Ap,43488.00,46317.00,101
2012,Airports,Custodian/Ap,45879.00,48708.00,101
2012,Airports,Commun Info Rep Iii,64813.00,67645.00,101
2012,Airports,Maintenance Laborer,53939.00,56788.00,101
2012,Airports,Cement Finisher,70391.00,73251.00,101
2012,Airports,Custodian/Ap,43488.00,46346.00,101
2012,Airports,Airport Police Ofcr Ii,81891.00,84760.00,101
